USER_UUID,'83d91a0a-6a92-47f5-9eed-ae26a594a647','0367c168-ac79-4dc7-84c4-d44b653ba68e','f5915c80-d3bc-4801-86d3-9ac00b9e41ae','a9e85627-81e8-4c27-bcdf-e9a34b66329e','e6926645-d006-4742-8397-d4e415e8678f','259ebe96-71cd-4e3f-a14c-0e174ffcbcec','d6b6769d-b02e-4ca7-9702-1e390006d293','5367c1a1-6322-457f-84b0-51b5301d48b4','9083f6c2-b037-488e-9096-194b209b5805','88d80727-970c-440a-a2c9-ad96e423cc13','c88d205a-7ddc-4b1b-8ea4-87e717b25230','31c97060-5518-4180-b74b-100f54e24ab1','52438211-603f-4f15-aa31-0db896ca3c18','a1a0a05d-e697-473d-9c02-6e6172283808','8ca3be93-7f70-45e5-a735-e4a2bda881c7','3e00cf89-d570-439a-919d-9fce068c9fc5','b8e60170-0dc1-4ca7-8c62-89b97e615d1d','9280a25f-35a1-44e1-9272-c6becb96c0ba','7bb2223c-84cb-46ec-8573-794021238886','16f344c7-38b6-490a-9477-886a06e6ef60','ff36935c-71b6-4310-a571-ccb358a77b3c','0de887ca-2972-4e04-a644-1cc63260bc65','b76b6589-4e8a-4c5c-961a-2d50a28aa034','1fa2b1a3-1a6e-470f-ad67-80e9ca5a8ce2','75eb0a77-6e3b-492c-81bd-791cf41aa09d','0fb977dd-8faf-4be7-9add-d043b747b945','0bc2b687-560f-4fbf-ab1e-35b76e545c43','77634265-6bcf-479c-92c3-a88cffd7f7b0','be9f23f9-5baa-494b-b41f-62f122e46782','9319c616-2822-4971-875a-837dd5ae6653','bcf492fd-1197-468b-b486-41e00f324d43','682d3673-2e82-4dd1-8dee-b8fe1394f74e','720a4f66-0e7f-472a-a90f-8a2b9063b629','84e9ecdd-030a-44ea-b1fd-539a052a09f3','a977416d-b2a5-4971-a914-99bfe854aadb','1639cde5-678c-469e-928d-9ad67f968bfc','d96db84d-052a-4117-9351-439afc3b62ae','da073e30-79e1-4742-8a16-5dbedb87b7e4','1af17e73-fd96-4722-b32b-336c903b9211','a5afda52-0475-4e0b-a830-aa929ac55fbd','c1a57b98-261f-423c-b2ac-4ae8b2c14356','38b3b679-009c-4951-9567-8002f7b969dd','fad894b3-179a-470a-b340-f744cebcffb3','3b63aad5-6742-43a3-a68e-8e9bb5833de1','98933de2-b3d5-499e-8de4-65e78303c135','2d9cede1-95b0-4da6-b405-73cc58c16333','3bc9df3c-694a-4562-a8a8-445730340eed','05cbacf9-1988-4b9a-bc63-3f6442a2500d','be87911f-fe7b-48a0-9319-1b8e6034230a','9752bba4-7ce3-4c1a-9c1e-254cb386b0fb','ab6e8115-d5f3-41c3-a5d7-2e3edc413d4e','3ff8d2bc-9c68-4fce-9faf-1b80ca33b153','f1262691-7c94-403a-8a64-d6563bcaf387','d2648054-267c-44f6-b178-5ff07624a64e','90441dc4-5ad0-483b-bb49-27a9466c07cf','2c71a858-5901-469c-b34f-aef5597db577','e83c391b-c935-4a1b-a5d1-f18a7a9ae200','e22d4f28-5254-4e17-8256-a2252457d4dc','296694ca-df57-4bc4-9a0c-f7a72a59a65e','9c649911-7040-4868-8d17-2409d52d512a','e7f7fba6-02c0-4df6-8f19-ffd6625d8d14','c5e8972c-fa66-49d6-b266-e2bf8958a65a','de3df29a-f878-4ea1-b8d8-3d8988d5e91b','d76257f8-d9b0-4da4-bc9a-93fc126f8a40','1fad83c2-fc73-427d-99af-c1f732159e5d'
0008a5ad-df92-45ba-b2a9-dd739b25239b,,,,,,,,,,,,1.0,,,,1.0,,0.0,,,,1.0,,,1.0,,1.0,,,,1.0,,0.0,,,,,,,,,,1.0,,0.0,0.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,
000ae506-a3db-48fa-a086-bcc8ff357312,,0.0,,,,,1.0,,0.0,,,1.0,,,1.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,0.0,0.0,,1.0,,,,,
000b0216-5337-4768-b255-0bdb957deca1,,1.0,,,,1.0,,,1.0,,,0.0,,,,1.0,,0.0,0.0,,,,0.0,,0.0,1.0,1.0,,,1.0,,0.0,0.0,,,,,,,,,,1.0,1.0,,0.0,,,,1.0,,,,,,,0.0,,1.0,1.0,0.0,,,,0.0
000c813a-f7ce-4434-9b76-4911d8de2270,,1.0,,,,,1.0,,,,,,,,1.0,1.0,0.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,0.0,,,,,1.0,,1.0,,,,,,,0.0,,1.0,,,,,,
000dffc0-2cf4-4d3c-ae3c-37d71a398ab5,,,,,,1.0,,,1.0,,,0.0,,,,,,0.0,,,,,,,0.0,1.0,1.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,0.0,1.0,,,0.0,,,,
00118898-abd1-49a0-93ad-9d843ba09bd1,0.0,0.0,,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,,,1.0,,,1.0,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,
00163db8-fb64-4121-9d8b-0ed17811e5bc,0.0,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.0,1.0,1.0,,,,,,0.0
00198102-dcad-40c4-90a0-9056d804919d,,1.0,,,,1.0,1.0,,,,,,,,0.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,0.0,,1.0,,,1.0,,,1.0,,,,,,,
0033503d-12d7-4d13-81dc-597cc69fa0ab,0.0,1.0,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,0.0,,,,,,,1.0,,,,0.0,,,,,1.0,,0.0,,,,,,,,,1.0,1.0,0.0,,,,
003672c0-052b-4e59-8a0d-32bc87583b85,0.0,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,0.0,1.0,1.0,,,1.0,0.0,,,,,,,,,0.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0
003e0234-2d8b-42d1-b7db-c8605f5888f7,0.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,0.0,,,,0.0,0.0,,0.0,,,1.0,,,,0.0,,0.0,,,,,,
00415918-34fe-4843-b530-41a78780bfd8,0.0,,,,,0.0,0.0,,1.0,,1.0,,,,,1.0,1.0,0.0,,,,,0.0,,0.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,0.0,,0.0,1.0,1.0,,0.0,,,,,,,0.0,0.0,0.0,1.0,,,,,
